2017-08-07,1.12%
2017-08-08,0.48%
2017-08-09,0.43%
2017-08-10,1.41%
2017-08-11,1.36%
2017-08-14,1.06%
2017-08-15,0.88%
2017-08-16,0.61%
2017-08-17,0.54%
2017-08-18,0.83%
2017-08-21,0.52%
2017-08-22,0.56%
2017-08-23,0.76%
2017-08-24,0.96%
2017-08-25,1.85%
2017-08-28,1.17%
2017-08-29,0.6%
2017-08-30,0.58%
2017-08-31,0.79%
2017-09-01,0.7%
2017-09-04,0.66%
2017-09-05,0.57%
2017-09-06,0.78%
2017-09-07,0.73%
2017-09-08,0.81%
2017-09-11,0.74%
2017-09-12,0.6%
2017-09-13,0.61%
2017-09-14,0.9%
2017-09-15,0.6%
2017-09-18,0.57%
2017-09-19,0.76%
2017-09-20,0.7%
2017-09-21,0.62%
2017-09-22,0.64%
2017-09-25,0.48%
2017-09-26,0.44%
2017-09-27,0.28%
2017-09-28,0.25%
2017-09-29,0.5%
2017-10-09,1.29%
2017-10-10,0.75%
2017-10-11,0.49%
2017-10-12,0.52%
2017-10-13,0.37%
2017-10-16,0.76%
2017-10-17,0.5%
2017-10-18,0.34%
2017-10-19,0.57%
2017-10-20,0.58%
2017-10-23,0.31%
2017-10-24,0.43%
2017-10-25,0.48%
2017-10-26,0.67%
2017-10-27,0.56%
2017-10-30,1.83%
2017-10-31,0.62%
2017-11-01,0.64%
2017-11-02,0.57%
2017-11-03,0.98%
2017-11-06,0.97%
2017-11-07,0.8%
2017-11-08,0.87%
2017-11-09,0.59%
2017-11-10,0.71%
2017-11-13,0.41%
2017-11-14,0.89%
2017-11-15,0.8%
2017-11-16,0.56%
2017-11-17,0.88%
2017-11-20,1.66%
2017-11-21,1.24%
2017-11-22,1.11%
2017-11-23,2.54%
2017-11-24,0.97%
2017-11-27,0.95%
2017-11-28,0.99%
2017-11-29,1.12%
2017-11-30,1.04%
2017-12-01,0.67%
2017-12-04,0.6%
2017-12-05,0.46%
2017-12-06,1.26%
2017-12-07,0.98%
2017-12-08,1.17%
2017-12-11,1.04%
2017-12-12,1.2%
2017-12-13,0.94%
2017-12-14,0.82%
2017-12-15,0.85%
2017-12-18,0.81%
